alsfrs_delta_bin,mean,median,count
"(-87.08, 435.0]",5.9486115702552915,5.074979335171456,9698
"(435.0, 955.0]",8.590855573823276,8.075243383531706,631
"(955.0, 1475.0]",8.849983516277165,8.504002721830208,35
"(1475.0, 1995.0]",7.265837817316543,4.170966557885617,17
