subgroup_value,count,mean,median,subgroup_type
Female,3315,1.871604020472933,1.2804981337036416,sex
Male,5854,1.7757995606878292,1.2333831033133364,sex
<=50,2304,1.765871335869195,1.2097071995534616,age_group
51-60,2565,1.6923743310145327,1.1323289482688494,age_group
61-70,2275,1.7758399008384276,1.2415639836168637,age_group
71+,864,1.8473864283880435,1.255385614708615,age_group
