alsfrs_delta_qbin,mean,median,count
"(-0.001, 85.0]",1.5845806908885316,1.035023497121701,2330
"(85.0, 165.0]",1.739028444780613,1.1622455876216478,2257
"(165.0, 295.0]",2.0081036566787756,1.3697020741468933,2315
"(295.0, 1988.0]",1.983747307703256,1.361222988388647,2267
