model_name,mae,rmse,r2,n_train_rows,n_test_rows,n_train_patients,n_test_patients
naive_previous_visit,1.939791711868084,3.01228770153,0.8821531404106197,36623,9218,4563,1141
linear_regression,1.8298155857857055,2.6188161589377517,0.9109292435888602,36623,9218,4563,1141
random_forest,1.8218090063213883,2.5994666440341567,0.9122406062386944,36623,9218,4563,1141
gradient_boosting,1.8057943395976568,2.5735802212607757,0.9139797823806883,36623,9218,4563,1141
